geneID	flhDCn	flhDCp
b3665	58.73442732	57.42179701
b1001	4.916061615	17.30667706
b2275	11.57102914	17.0157162
b0985	0.212113049	0.910077521
b4646	43.03041593	54.78308652
b3928	3502.612428	4487.969606
b1953	2733.930668	1384.254853
b3609	1159.246761	710.3330068
b3771	59.92107683	66.84423518
b1134	10.97478424	26.85467387
b0197	420.004892	378.8624281
b1810	476.4016653	284.9611983
b4060	215.759588	251.9220441
b4118	29.63282296	19.63199405
b2168	1678.304854	1103.000872
b1476	14.05200298	19.23060597
b0741	1257.874265	1151.605034
b4277	5.281614915	10.815444
b3794	78.04815563	77.52423516
b0043	1.354260235	3.565530988
b3137	6.256965405	4.145292124
b1376	343.1228448	202.7762554
b3643	331.7237748	368.6357338
b1141	0	0
b0567	9.780768361	8.202188569
b3553	128.0588478	196.2785192
b2647	6.606342166	9.980010224
b4443	842.2381066	767.2814985
b0478	210.697697	126.6823025
b4099	0.743889425	0.638336064
b4084	4.600116216	12.06146289
b3151	63.9273275	56.16253614
b4156	8.117452065	16.73561717
b0471	194.4594582	108.6694611
b2868	9.572927033	8.143771819
b4595	335.1093601	263.7263438
b0177	246.8878193	227.0982871
b2936	387.2488406	232.8791254
b0637	252.6206379	218.0580083
b2676	5.776766313	16.28754364
b4661	6.048107783	6.423166179
b2109	0.383188507	0.959047835
b0952	62.92987984	77.74627675
b2777	492.5577481	456.2535516
b2694	14.40440431	24.27956816
b1905	70.63364525	445.0279079
b1674	3.285215019	1.355318797
b0140	0.427661127	10.09191227
b0585	22.91773055	30.23341072
b3439	86.73686563	102.0718627
b1324	1773.560038	980.1858008
b1498	3.01268587	2.019690756
b0248	0	0.370276639
b3951	6.412404531	80.61492821
b3253	117.3331067	98.13925959
b4413	63.37937898	108.15444
b1205	3580.139831	1832.97686
b4303	4.712221486	8.213534209
b3059	91.78728833	73.97803695
b1062	35.41254699	26.13474051
b0746	116.7514876	143.1216649
b2374	2.786463504	3.124708612
b2828	51.73088581	84.59045892
b1229	0	0
b2147	5.255976008	38.77659186
b3758	0	0
b4360	47.69458317	59.39910512
b1438	10.25925199	14.67254478
b0406	238.0940766	198.2831399
b0065	0	0
b3561	9.863256769	35.32238379
b1741	26.40807458	52.05889388
b3038	261.0782773	155.6109101
b4567	1091.088043	590.1881525
b3471	34.49703435	31.38845072
b0241	1.500458783	1.609441071
b4444	1.800550539	0
b3829	126.996921	54.39825438
b2269	0.261466085	0.981599703
b0506	467.1899076	381.570076
b2201	55.35538709	44.12344598
b1678	267.0762885	107.3857517
b2602	70.99875787	29.2548895
b0110	81.23353375	87.13374007
b2520	70.5066852	53.77518219
b1473	10.06021889	11.94708909
b1335	31.935346	33.92552062
b2638	2.071221535	1.110829916
b4123	13.23357652	23.70018994
b0387	112.1911665	102.1963522
b1275	86.61848461	99.53377838
b1490	35.2871452	29.24783843
b0957	14829.46569	8948.128723
b0413	119.7166047	131.4333956
b3034	64.88841181	76.07598022
b0991	27.4369606	16.92212326
b0415	208.2369193	195.2159758
b0517	1.509032833	2.266093028
b2276	511.5341853	238.8490028
b1191	58.74542323	124.7525307
b2406	10.46238754	26.23043242
b0879	28.40190455	46.26461112
b1372	2.685566906	7.479522037
b3096	203.0120733	266.4429693
b0913	6.995516444	18.00868631
b3540	123.4478949	126.1571193
b1997	1.298757766	0
b0763	104.4040158	377.901754
b4538	7.666860361	28.32616285
b1336	3.424229709	6.01026638
b0474	457.1667608	393.931288
b3175	2356.266402	2862.728782
b1858	63.50513172	107.2347594
b0916	12.20811233	9.924495013
b2757	3.990553491	4.280397942
b0959	45.27098499	37.76821713
b2814	76.13756566	57.38807019
b0286	28.01552259	12.31572298
b1125	15.5003916	11.49467478
b1709	42.88671311	26.28667912
b0007	52.48397211	49.05117508
b1119	139.8585528	106.968536
b4658	48.70963038	21.54956887
b2398	155.6928223	1723.708588
b0761	58.03751751	52.12875596
b1522	30.41942768	72.42892273
b3424	84.27703222	84.671707
b0791	840.4321544	464.3836625
b3328	1.085263339	1.164088884
b2990	34.3623139	60.0651164
b1338	3.504961843	3.759536488
b3751	3015.677634	1770.528239
b4437	83.88447218	99.97469241
b2235	156.2069133	93.31855241
b2920	1.499850077	10.457123
b1638	56.91603287	62.86079975
b0623	38247.94618	25849.6469
b1048	77.36740598	55.54583496
b4670	217.1330576	365.0927656
b4592	0	0
b1347	0	2.427956816
b2270	1.833894068	3.639125088
b1876	73.01055912	62.92524757
b3903	2.515054721	12.81421653
b1307	68.51824755	98.75878399
b0551	14.44191578	65.06165529
b2897	386.9228005	761.9419535
b3460	264.5113122	361.928309
