geneID	flhDCn	flhDCp
b2841	170	373
b2688	1739	1502
b0812	34828	8512
b1004	5296	1950
b4360	149	173
b3565	309	288
b3732	9862	4918
b1099	219	171
b3057	421	365
b2473	652	1419
b4104	9	4
b3198	648	731
b4616	15	35
b4568	5034	2858
b1658	736	684
b2148	183	81
b3868	686	625
b4497	16	434
b1955	839	425
b2764	645	896
b4673	0	0
b3371	78	141
b4527	1	0
b3885	704	492
b4379	123	110
b3209	538	517
b0053	2366	1781
b4301	43	37
b1097	93	73
b3128	311	172
b0287	146	101
b3720	21	40
b1953	3934	1857
b3355	279	195
b3886	249	151
b4593	3	3
b3970	0	0
b2070	71	98
b2516	1577	1605
b0083	145	80
b2619	442	739
b4494	11	14
b1911	76	60
b3642	314	281
b1415	3409	1793
b3753	279	206
b2533	674	755
b0681	63	61
b2928	355	799
b3256	3871	2202
b3072	1344	2535
b1697	4	27
b1251	923	670
b4298	32	34
b0655	1123	13358
b0708	773	647
b2275	62	85
b3429	1603	1715
b0721	875	774
b3075	272	207
b4231	52	193
b1825	6492	5948
b1584	310	287
b0864	754	460
b1387	31	188
b0831	207	236
b4178	772	981
b1112	286	250
b4471	78	157
b4398	82	89
b4110	482	3534
b0555	7	131
b2860	0	0
b0414	668	604
b0156	1511	1651
b0963	1837	4281
b4362	262	176
b2329	612	573
b3979	12	12
b2006	43	50
b1792	534	372
b3412	339	298
b2692	12	27
b2445	1	3
b1327	35	64
b2560	1616	1743
b3994	427	566
b4125	247	268
b4488	1967	2402
b3989	58	251
b0274	0	0
b4495	27	371
b4572	29	55
b2935	4315	3251
b4687	199	273
b2237	630	309
b2706	29	13
b0153	154	1350
b3846	2167	1824
b3947	33	117
b0998	21	37
b3121	11	17
b0306	51	8
b4504	0	0
b3972	102	105
b1611	1464	1152
b3101	108	106
b0635	527	555
b3278	0	0
b2207	15	1
b0604	187	148
b3104	20	32
b2200	103	56
b4022	278	370
b2250	47	1350
b4331	0	0
b2241	2658	947
b1678	1694	635
b2379	457	363
b2770	12	17
b3196	570	582
b0837	1113	442
b3269	15	63
b4010	0	0
b1479	7371	4581
b3011	1094	1633
b3502	101	116
b3977	121	141
b3966	589	549
b2907	876	1579
b4008	0	0
b0081	800	596
b2635	0	0
b2704	48	50
b0953	27408	24368
b1321	460	2447
b4666	4	9
b3043	23	55
b4516	0	0
b1547	1	12
b1000	847	431
b4317	0	0
b2221	5	4
b0882	12225	10073
b1210	1153	1069
b1765	546	380
b4111	7195	6567
b1293	135	101
b3650	1413	840
b4280	345	718
b0931	591	918
b0139	25	35
b0572	6	12
b0935	26	101
b0965	1208	815
b1473	56	62
b1222	720	459
b0098	2736	3146
b1081	184	1969
b2735	296	241
b0428	4150	1620
b1832	1015	548
b0062	0	0
b1119	805	574
b0241	10	10
b2695	46	49
b2712	219	223
b2127	471	173
b2205	286	147
b1265	23	46
b2508	558	357
b1881	607	2340
b2321	175	521
b4238	1329	682
b0786	4817	3707
b0329	0	0
b0514	40	49
b3580	30	75
b0206	0	0
b0817	250	284
b2837	779	386
b4070	0	0
b2517	691	581
b0031	949	753
b3566	31	47
b0824	6	5
b0962	843	1806
b4216	504	586
b0946	519	320
b2395	183	334
b2425	267	283
b4491	41	54
b1849	69	31
b4325	0	0
b3001	1469	828
b0172	4182	2363
b0205	0	0
b4621	4	9
b1408	1	3
b3524	1782	2151
b2040	210	143
b0429	461	237
b1294	345	213
b0540	0	0
b0240	2798	2529
b1566	454	2696
b1900	38	149
b3267	6	83
b4151	589	550
b1261	281	280
b0815	73	97
b1815	145	91
b0442	88	35
b0590	436	525
b0260	188	363
b3505	0	0
b2273	12	20
b1983	914	1128
b2810	724	794
b3912	1503	1252
b4623	42	534
b1427	133	156
b1655	107	42
b0896	160	154
b1376	942	519
b3921	156	135
b0013	5	3
b3070	501	347
b1094	19618	16608
b2927	10704	8119
b2757	17	17
b1851	1030	787
b3614	201	172
b4418	2	8
b4319	0	0
b4254	59	427
b3693	76	79
b2332	340	448
b1783	4037	2076
b0511	6	6
b3847	2381	1759
b2032	683	516
b1557	20632	18839
b2074	213	193
b3843	2318	2000
b3045	0	0
b2440	115	117
b0974	16	18
b1999	39	130
b2739	24	33
b4004	379	425
b3450	571	380
b0064	885	1740
b2385	45	137
b2733	663	569
b3182	275	254
b4013	142	175
b4160	728	1155
b2899	3086	4261
b3807	458	318
b2316	3245	3552
b1868	39	32
b1757	322	188
b1281	226	181
b2292	785	541
b3686	789	886
b3773	501	549
b2094	79	77
b1735	53	106
b4528	0	0
b4646	107	127
b0233	16	18
b3629	633	449
b4559	19	15
b0689	11	44
b0492	1367	968
b2008	256	191
b4007	0	0
b4209	43	54
b4193	35	28
b2158	236	527
b2097	5228	2043
b4045	23921	4668
b4023	689	423
b2314	837	908
b2112	522	281
b0614	3	18
b1715	22	12
b4390	1094	586
b0654	128	1090
b3171	558	1152
b1703	88	55
b2000	939	348
b1493	28	11
b3618	922	1056
b1029	8	17
b2643	0	0
b4237	148	98
b4684	0	0
b4587	42	71
b2093	42	60
b3512	2099	331
b1010	2	3
b0239	507	274
b0717	2	7
b4057	389	276
b1737	103	62
b3227	30	144
b2428	200	103
b3202	1903	2058
b3962	1689	1329
b0117	81	51
b3432	2179	1214
b1212	153	159
b0291	62	68
b3621	265	232
b2856	12	26
b3722	32	149
b2195	52	29
b0497	269	187
b1823	2311	1265
b0407	1363	943
b0820	757	693
b0356	1825	2090
b2171	336	189
b2588	0	0
b1426	689	119
b0908	286	496
b3873	78	48
b0529	384	337
b4304	37	48
b1767	180	107
b0772	907	725
b1431	949	754
b3893	1148	1118
b4150	66	67
b1301	34	27
b0526	643	594
b1074	259	2425
b3055	834	652
b0490	229	223
b4043	1512	1020
b1107	459	393
b0114	5623	3534
b0382	154	74
b2100	834	591
b0695	582	425
b3474	406	233
b2753	77	83
b3461	15035	14081
b4518	282	287
b0447	221	115
b4051	1563	1048
b2322	125	114
b0476	81	147
b0493	264	176
b0972	68	18
b0905	559	577
b3049	2067	1147
b0051	918	749
b3905	28	100
b0166	4110	2758
b2323	3522	3225
b4332	0	0
b2780	4250	2817
b2825	18	487
b2239	892	699
b0859	126	246
b2059	37	19
b0273	250	652
b2544	43	256
b0679	1501	921
b0210	162	240
b1224	8761	3958
b1495	13	13
b0591	312	1476
b3339	152	137
b1535	450	258
b1795	8517	4819
b3775	769	858
b2493	351	376
b1063	742	521
b1871	253	217
b4006	231	159
b1988	43	55
b1471	2	16
b3264	7	12
b1802	6	13
b0878	213	355
b3688	1850	1737
b2700	267	221
b2664	197	170
b2458	22	25
b3931	1954	1542
b0531	1	2
b2386	14	52
b2858	10	9
b0703	3	3
b1596	973	225
b1936	9	31
b1121	4	4
b4693	0	0
b3404	1018	904
b2980	627	843
b1707	219	118
b1987	54	45
b2045	32	45
b4233	1584	1488
b3107	397	280
b4153	803	706
b2373	17	50
b4522	1	3
b2414	4615	5673
b0258	129	197
b1857	522	385
b1859	226	654
b1420	3	5
b3531	50	80
b2133	1297	3486
b4359	835	622
b0659	271	153
b2229	3	0
b1705	159	346
b0425	367	265
b4657	5	20
b1651	923	637
b2887	36	82
b2022	149	146
b0028	471	451
b0164	26	33
b1219	931	623
b0330	0	0
b2967	21	39
b4194	2	2
b0516	41	30
b0872	40	87
b1048	750	502
b3691	83	218
b3394	6	91
b3668	469	394
b0959	180	140
b3085	56	59
b4361	178	164
b4349	0	0
b0915	440	279
b1670	26	126
b3784	893	743
b0439	3966	4446
b2365	36	36
b3123	682952	781266
b3633	567	471
b3669	689	611
b1247	2022	955
